province_id,legacy_id,numeric_id,name,region_id,macroregion_id,area_km2,profile_id,target_cell_area_km2,expected_cell_count_base,override_minimum_cell_count,override_forced_cell_count,override_reason,final_cell_count_base,status
province:371,austria__ober_sterreich,371,Oberösterreich,,,11876.689,,,,,,,,UNASSIGNED_REGION
province:2708,sweden__sterg_tland,2708,Östergötland,,,11872.955,,,,,,,,UNASSIGNED_REGION
province:3732,turkey__malatya,3732,Malatya,,,11802.472,,,,,,,,UNASSIGNED_REGION
province:650,paraguay__eembuc,650,Ñeembucú,,,11800.836,,,,,,,,UNASSIGNED_REGION
province:2371,japan__akita,2371,Akita,,,11722.652,,,,,,,,UNASSIGNED_REGION
province:3836,mexico__quer_taro,3836,Querétaro,,,11719.939,,,,,,,,UNASSIGNED_REGION
province:3161,indonesia__bangka_belitung_2,3161,Bangka-Belitung,,,11713.154,,,,,,,,UNASSIGNED_REGION
province:892,vietnam__i_n_bi_n,892,Điện Biên,,,11712.803,,,,,,,,UNASSIGNED_REGION
province:238,morocco__tanger_t_touan,238,Tanger - Tétouan,,,11704.129,,,,,,,,UNASSIGNED_REGION
province:877,thailand__nan,877,Nan,,,11679.351,,,,,,,,UNASSIGNED_REGION
province:904,vietnam__qu_ng_nam,904,Quàng Nam,,,11676.431,,,,,,,,UNASSIGNED_REGION
province:2998,cuba__matanzas,2998,Matanzas,,,11636.92,,,,,,,,UNASSIGNED_REGION
province:241,laos__oud_mxai,241,Oudômxai,,,11621.065,,,,,,,,UNASSIGNED_REGION
province:1371,indonesia__papua_2,1371,Papua,,,11621.02,,,,,,,,UNASSIGNED_REGION
province:2772,greece__stere_ell_da,2772,Stereá Elláda,,,11620.929,,,,,,,,UNASSIGNED_REGION
province:997,togo__kara,997,Kara,,,11608.351,,,,,,,,UNASSIGNED_REGION
province:2074,venezuela__m_rida,2074,Mérida,,,11604.128,,,,,,,,UNASSIGNED_REGION
province:2750,turkey__bursa,2750,Bursa,,,11580.253,,,,,,,,UNASSIGNED_REGION
province:252,kyrgyzstan__talas,252,Talas,,,11564.913,,,,,,,,UNASSIGNED_REGION
province:2368,japan__niigata,2368,Niigata,,,11560.95,,,,,,,,UNASSIGNED_REGION
province:3478,paraguay__paraguar,3478,Paraguarí,,,11550.029,,,,,,,,UNASSIGNED_REGION
province:2712,sweden__sk_ne,2712,Skåne,,,11473.282,,,,,,,,UNASSIGNED_REGION
province:1252,ecuador__loja,1252,Loja,,,11466.727,,,,,,,,UNASSIGNED_REGION
province:530,kuwait__al_jahrah,530,Al Jahrah,,,11454.321,,,,,,,,UNASSIGNED_REGION
province:1024,burkina_faso__houet,1024,Houet,,,11443.747,,,,,,,,UNASSIGNED_REGION
province:3922,czech_republic__st_edo_esk,3922,Středočeský,,,11398.514,,,,,,,,UNASSIGNED_REGION
province:1210,costa_rica__guanacaste_2,1210,Guanacaste,,,11377.574,,,,,,,,UNASSIGNED_REGION
province:1045,cambodia__st_ng_tr_ng,1045,Stœng Trêng,,,11358.099,,,,,,,,UNASSIGNED_REGION
province:3725,turkey__erzincan,3725,Erzincan,,,11347.466,,,,,,,,UNASSIGNED_REGION
province:1975,panama__panama,1975,Panama,,,11338.095,,,,,,,,UNASSIGNED_REGION
province:2835,spain__murcia_2,2835,Murcia,region:iberia:murcia,macroregion:iberia,11322.697,P3,2200,5,,,,5,OK
province:1026,liberia__nimba,1026,Nimba,,,11297.617,,,,,,,,UNASSIGNED_REGION
province:855,thailand__chiang_rai,855,Chiang Rai,,,11279.879,,,,,,,,UNASSIGNED_REGION
province:3653,afghanistan__uruzgan,3653,Uruzgan,,,11258.851,,,,,,,,UNASSIGNED_REGION
province:51,north_korea__kangw_n_do,51,Kangwŏn-do,,,11255.535,,,,,,,,UNASSIGNED_REGION
province:3306,papua_new_guinea__eastern_highlands,3306,Eastern Highlands,,,11250.86,,,,,,,,UNASSIGNED_REGION
province:814,afghanistan__jawzjan,814,Jawzjan,,,11244.907,,,,,,,,UNASSIGNED_REGION
province:3371,sweden__j_nk_ping,3371,Jönköping,,,11193.14,,,,,,,,UNASSIGNED_REGION
province:2520,thailand__nakhon_si_thammarat,2520,Nakhon Si Thammarat,,,11172.857,,,,,,,,UNASSIGNED_REGION
province:225,georgia__kakheti,225,Kakheti,,,11168.548,,,,,,,,UNASSIGNED_REGION
province:2448,canada__nunavut_54,2448,Nunavut,,,11162.582,,,,,,,,UNASSIGNED_REGION
province:3811,poland__wi_tokrzyskie,3811,Świętokrzyskie,,,11149.566,,,,,,,,UNASSIGNED_REGION
province:3893,burkina_faso__gourma,3893,Gourma,,,11135.763,,,,,,,,UNASSIGNED_REGION
province:2150,ivory_coast__sud_bandama,2150,Sud-Bandama,,,11125.869,,,,,,,,UNASSIGNED_REGION
province:3461,qatar__umm_salal,3461,Umm Salal,,,11116.176,,,,,,,,UNASSIGNED_REGION
province:3718,turkey__denizli,3718,Denizli,,,11102.851,,,,,,,,UNASSIGNED_REGION
province:406,guinea__mandiana,406,Mandiana,,,11063.007,,,,,,,,UNASSIGNED_REGION
province:3232,cuba__pinar_del_r_o,3232,Pinar del Río,,,11052.997,,,,,,,,UNASSIGNED_REGION
province:1036,guinea__gaoual,1036,Gaoual,,,11051.385,,,,,,,,UNASSIGNED_REGION
province:2977,jamaica__saint_mary,2977,Saint Mary,,,11040.135,,,,,,,,UNASSIGNED_REGION
province:1547,senegal__kaffrine,1547,Kaffrine,,,11024.504,,,,,,,,UNASSIGNED_REGION
